trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
45,False,"{'a': 0.5, 'e': 1.0}",20,0,-28.288185862444276,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.0822189185017,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 1.0}",30,0,-31.01630875159387,"{0: 19, 1: 11, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 1.0}",20,0,-15.297685263101075,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 1.0}",20,0,-2.113260306296315,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 1.0}",20,0,-16.58860884030206,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 1.0}",35,0,-61.77791149103713,"{0: 17, 1: 18, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 1.0}",35,0,-29.72304826139196,"{0: 23, 1: 12, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 1.0}",20,0,-28.11890603996371,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 1.0}",25,0,-36.595705214084596,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.741128186601326,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 1.0}",20,0,-18.448304867935214,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 1.0}",25,0,-16.93003233207879,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 1.0}",20,0,-29.852927763419203,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 1.0}",25,0,-28.476177324249186,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 1.0}",25,0,-4.793392478760175,"{0: 19, 1: 6, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 1.0}",25,0,-20.063923306654438,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 1.0}",30,0,-27.283081181497252,"{0: 19, 1: 11, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 1.0}",20,0,-5.407175888350459,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 1.0}",20,0,-10.488036024196761,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.611330453884154,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 1.0}",25,0,-16.465781900965332,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 1.0}",30,0,-12.374032290811591,"{0: 21, 1: 9, 2: 0, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 1.0}",20,0,-16.276745953299322,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 1.0}",20,0,-25.793294803375083,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
70,False,"{'a': 0.5, 'e': 1.0}",30,0,-45.46916540511976,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 1.0}",25,0,-17.95899700329348,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': 1.0}",20,0,-15.556254920915592,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 1.0}",20,0,-26.917186057269923,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 1.0}",25,0,-35.03614224826336,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 1.0}",20,0,-22.58851502095873,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
76,False,"{'a': 0.5, 'e': 1.0}",30,0,-55.51299617060657,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 1.0}",20,0,-14.871289718527015,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
78,False,"{'a': 0.5, 'e': 1.0}",30,0,-41.360919663623214,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 1.0}",25,0,-36.97818990567683,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
80,False,"{'a': 0.5, 'e': 1.0}",25,0,-18.88064436744076,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 1.0}",25,0,-47.54722802491149,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 1.0}",20,0,-8.046457430860713,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': 1.0}",25,0,-35.183855602578525,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
84,False,"{'a': 0.5, 'e': 1.0}",25,0,-19.734699262578534,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 1.0}",20,0,-17.18553304622211,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.31086719195752,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.5, 'e': 1.0}",20,0,-8.824376715583231,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 1.0}",30,0,-45.6720955570179,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 1.0}",25,0,-27.920882589306526,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 1.0}",20,0,-14.913650214687523,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 1.0}",25,0,-38.78766499184488,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
92,False,"{'a': 0.5, 'e': 1.0}",30,0,-33.87247638481882,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 1.0}",25,0,-38.41295821760715,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 1.0}",20,0,-16.593887070446847,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 1.0}",25,0,-33.835787645869864,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.5, 'e': 1.0}",35,0,-25.862575758291637,"{0: 22, 1: 13, 2: 0, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 1.0}",20,0,-24.265721665022518,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 1.0}",20,0,-15.095995881597696,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
99,False,"{'a': 0.5, 'e': 1.0}",25,0,-16.54729641458153,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
