trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
332,False,"{'a': 0.4, 'e': 0.5461793173053804}",30,0,-137.23331093672638,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
333,False,"{'a': 0.4, 'e': 0.5436638584190042}",30,5,-72.70366087438082,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 2}",1
334,False,"{'a': 0.4, 'e': 0.5411435065615721}",20,0,-56.12546079047265,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
335,False,"{'a': 0.4, 'e': 0.5386182844162335}",20,15,9.299711540817906,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.4, 'e': 0.5360882147099707}",20,0,-37.39589529672325,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
337,False,"{'a': 0.4, 'e': 0.5335533202133944}",30,1,-99.28412096214375,"{0: 21, 1: 1, 2: 3, 3: 3, 4: 1}",1
338,False,"{'a': 0.4, 'e': 0.5310136237405374}",25,0,-107.30308949086245,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
339,False,"{'a': 0.4, 'e': 0.5284691481486513}",20,0,-46.56331964262394,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
340,False,"{'a': 0.4, 'e': 0.525919916337999}",25,0,-28.844191112137914,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
341,False,"{'a': 0.4, 'e': 0.5233659512516495}",30,12,-22.968342373581372,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 0}",1
342,False,"{'a': 0.4, 'e': 0.5208072758752714}",30,7,-43.638700127706855,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 1}",1
343,False,"{'a': 0.4, 'e': 0.5182439132369261}",20,7,9.802899561934767,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
344,False,"{'a': 0.4, 'e': 0.5156758864068598}",35,3,-72.40597504690295,"{0: 23, 1: 0, 2: 7, 3: 2, 4: 0}",1
345,False,"{'a': 0.4, 'e': 0.5131032184972965}",20,0,-88.08788723065217,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
346,False,"{'a': 0.4, 'e': 0.5105259326622302}",25,0,-31.002389758152066,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
347,False,"{'a': 0.4, 'e': 0.507944052097216}",20,0,-28.55550540794086,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
348,False,"{'a': 0.4, 'e': 0.5053576000391616}",25,0,-86.09540312634267,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
349,False,"{'a': 0.4, 'e': 0.5027665997661179}",30,0,-31.241893893811678,"{0: 25, 1: 1, 2: 2, 3: 2, 4: 0}",0
350,False,"{'a': 0.4, 'e': 0.5001710745970701}",25,3,5.6124882167793,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
351,False,"{'a': 0.4, 'e': 0.49757104789172696}",25,2,-58.84954537451095,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 2}",1
352,False,"{'a': 0.4, 'e': 0.4949665430503115}",25,10,-62.38565895402607,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 1}",1
